source_degree	target_degree	n	nnz	sum	sum_of_squares
0	1	16368	0	0.0	0.0
0	2	5208	0	0.0	0.0
0	3	2790	0	0.0	0.0
0	4	1674	0	0.0	0.0
0	5	930	0	0.0	0.0
0	6	1302	0	0.0	0.0
0	7	1023	0	0.0	0.0
0	8	558	0	0.0	0.0
0	9	558	0	0.0	0.0
0	10	279	0	0.0	0.0
0	11	186	0	0.0	0.0
0	12	186	0	0.0	0.0
0	13	93	0	0.0	0.0
0	14	279	0	0.0	0.0
0	16	93	0	0.0	0.0
0	18	186	0	0.0	0.0
0	19	93	0	0.0	0.0
0	20	93	0	0.0	0.0
0	22	186	0	0.0	0.0
1	1	176	0	0.0	0.0
1	2	56	0	0.0	0.0
1	3	30	0	0.0	0.0
1	4	18	0	0.0	0.0
1	5	10	0	0.0	0.0
1	6	14	0	0.0	0.0
1	7	11	0	0.0	0.0
1	8	6	0	0.0	0.0
1	9	6	0	0.0	0.0
1	10	3	0	0.0	0.0
1	11	2	0	0.0	0.0
1	12	2	0	0.0	0.0
1	13	1	0	0.0	0.0
1	14	3	0	0.0	0.0
1	16	1	0	0.0	0.0
1	18	2	0	0.0	0.0
1	19	1	0	0.0	0.0
1	20	1	0	0.0	0.0
1	22	2	0	0.0	0.0
2	1	176	0	0.0	0.0
2	2	56	0	0.0	0.0
2	3	30	0	0.0	0.0
2	4	18	0	0.0	0.0
2	5	10	0	0.0	0.0
2	6	14	0	0.0	0.0
2	7	11	0	0.0	0.0
2	8	6	0	0.0	0.0
2	9	6	0	0.0	0.0
2	10	3	0	0.0	0.0
2	11	2	0	0.0	0.0
2	12	2	0	0.0	0.0
2	13	1	0	0.0	0.0
2	14	3	0	0.0	0.0
2	16	1	0	0.0	0.0
2	18	2	0	0.0	0.0
2	19	1	0	0.0	0.0
2	20	1	0	0.0	0.0
2	22	2	0	0.0	0.0
4	1	352	3	16.972144342638607	96.61802903798747
4	2	112	2	11.688876535546694	69.47843257280408
4	3	60	0	0.0	0.0
4	4	36	1	4.57548648601339	20.93507658369116
4	5	20	0	0.0	0.0
4	6	28	2	8.589003566325854	38.90120606179411
4	7	22	2	7.863183786193929	31.18006376979089
4	8	12	0	0.0	0.0
4	9	12	4	14.936451435028419	57.89296718057338
4	10	6	0	0.0	0.0
4	11	4	0	0.0	0.0
4	12	4	0	0.0	0.0
4	13	2	0	0.0	0.0
4	14	6	0	0.0	0.0
4	16	2	0	0.0	0.0
4	18	4	1	4.115101354804228	16.93405916031159
4	19	2	0	0.0	0.0
4	20	2	0	0.0	0.0
4	22	4	0	0.0	0.0
5	1	176	0	0.0	0.0
5	2	56	0	0.0	0.0
5	3	30	0	0.0	0.0
5	4	18	0	0.0	0.0
5	5	10	0	0.0	0.0
5	6	14	0	0.0	0.0
5	7	11	0	0.0	0.0
5	8	6	0	0.0	0.0
5	9	6	0	0.0	0.0
5	10	3	0	0.0	0.0
5	11	2	0	0.0	0.0
5	12	2	0	0.0	0.0
5	13	1	0	0.0	0.0
5	14	3	0	0.0	0.0
5	16	1	0	0.0	0.0
5	18	2	0	0.0	0.0
5	19	1	0	0.0	0.0
5	20	1	0	0.0	0.0
5	22	2	0	0.0	0.0
9	1	176	1	5.734557536756556	32.88515014237142
9	2	56	0	0.0	0.0
9	3	30	0	0.0	0.0
9	4	18	0	0.0	0.0
9	5	10	0	0.0	0.0
9	6	14	0	0.0	0.0
9	7	11	0	0.0	0.0
9	8	6	0	0.0	0.0
9	9	6	0	0.0	0.0
9	10	3	0	0.0	0.0
9	11	2	0	0.0	0.0
9	12	2	0	0.0	0.0
9	13	1	0	0.0	0.0
9	14	3	0	0.0	0.0
9	16	1	0	0.0	0.0
9	18	2	0	0.0	0.0
9	19	1	0	0.0	0.0
9	20	1	0	0.0	0.0
9	22	2	0	0.0	0.0
10	1	176	0	0.0	0.0
10	2	56	0	0.0	0.0
10	3	30	0	0.0	0.0
10	4	18	0	0.0	0.0
