source_degree	target_degree	n	nnz	sum	sum_of_squares
0	1	16368	0	0.0	0.0
0	2	5208	0	0.0	0.0
0	3	2790	0	0.0	0.0
0	4	1674	0	0.0	0.0
0	5	930	0	0.0	0.0
0	6	1302	0	0.0	0.0
0	7	1023	0	0.0	0.0
0	8	558	0	0.0	0.0
0	9	558	0	0.0	0.0
0	10	279	0	0.0	0.0
0	11	186	0	0.0	0.0
0	12	186	0	0.0	0.0
0	13	93	0	0.0	0.0
0	14	279	0	0.0	0.0
0	16	93	0	0.0	0.0
0	18	186	0	0.0	0.0
0	19	93	0	0.0	0.0
0	20	93	0	0.0	0.0
0	22	186	0	0.0	0.0
1	1	176	0	0.0	0.0
1	2	56	0	0.0	0.0
1	3	30	0	0.0	0.0
1	4	18	0	0.0	0.0
1	5	10	0	0.0	0.0
1	6	14	0	0.0	0.0
1	7	11	0	0.0	0.0
1	8	6	0	0.0	0.0
1	9	6	0	0.0	0.0
1	10	3	0	0.0	0.0
1	11	2	0	0.0	0.0
1	12	2	0	0.0	0.0
1	13	1	0	0.0	0.0
1	14	3	0	0.0	0.0
1	16	1	0	0.0	0.0
1	18	2	0	0.0	0.0
1	19	1	0	0.0	0.0
1	20	1	0	0.0	0.0
1	22	2	0	0.0	0.0
2	1	176	0	0.0	0.0
2	2	56	0	0.0	0.0
2	3	30	0	0.0	0.0
2	4	18	0	0.0	0.0
2	5	10	0	0.0	0.0
2	6	14	0	0.0	0.0
2	7	11	0	0.0	0.0
2	8	6	0	0.0	0.0
2	9	6	0	0.0	0.0
2	10	3	0	0.0	0.0
2	11	2	0	0.0	0.0
2	12	2	0	0.0	0.0
2	13	1	0	0.0	0.0
2	14	3	0	0.0	0.0
2	16	1	0	0.0	0.0
2	18	2	0	0.0	0.0
2	19	1	0	0.0	0.0
2	20	1	0	0.0	0.0
2	22	2	0	0.0	0.0
4	1	352	2	9.880280354707436	49.500840831604144
4	2	112	1	4.005994741849997	16.047993871729823
4	3	60	0	0.0	0.0
4	4	36	0	0.0	0.0
4	5	20	0	0.0	0.0
4	6	28	0	0.0	0.0
4	7	22	1	3.380440617348883	11.427378767422097
4	8	12	0	0.0	0.0
4	9	12	0	0.0	0.0
4	10	6	0	0.0	0.0
4	11	4	0	0.0	0.0
4	12	4	0	0.0	0.0
4	13	2	0	0.0	0.0
4	14	6	1	3.0350218944145153	9.211357899575473
4	16	2	0	0.0	0.0
4	18	4	0	0.0	0.0
4	19	2	0	0.0	0.0
4	20	2	0	0.0	0.0
4	22	4	0	0.0	0.0
5	1	176	2	8.69108269441053	38.400280299348246
5	2	56	4	13.849921783788773	48.290737123382144
5	3	30	4	15.320296543652326	65.83932081064688
5	4	18	0	0.0	0.0
5	5	10	1	3.405875199207161	11.599985872574418
5	6	14	3	10.256116137393786	37.96321156399737
5	7	11	3	10.377958601574925	36.97702578170438
5	8	6	2	7.168437982812179	28.41864627788802
5	9	6	1	2.910333563530943	8.470041451014717
5	10	3	0	0.0	0.0
5	11	2	1	2.9455721673840523	8.676395393267583
5	12	2	0	0.0	0.0
5	13	1	0	0.0	0.0
5	14	3	1	2.4701688877608317	6.101734334061584
5	16	1	1	2.2057050733369308	4.865134870544275
5	18	2	1	2.990838181132239	8.9451130257184
5	19	1	0	0.0	0.0
5	20	1	1	2.9384376098165603	8.63441558678446
5	22	2	0	0.0	0.0
9	1	176	0	0.0	0.0
9	2	56	0	0.0	0.0
9	3	30	0	0.0	0.0
9	4	18	1	4.640012158221376	21.529712828442193
9	5	10	0	0.0	0.0
9	6	14	0	0.0	0.0
9	7	11	0	0.0	0.0
9	8	6	0	0.0	0.0
9	9	6	0	0.0	0.0
9	10	3	0	0.0	0.0
9	11	2	0	0.0	0.0
9	12	2	0	0.0	0.0
9	13	1	0	0.0	0.0
9	14	3	0	0.0	0.0
9	16	1	0	0.0	0.0
9	18	2	0	0.0	0.0
9	19	1	0	0.0	0.0
